Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, Sum
, , 0, 0, 0, 0.1, 0, 0.1, 0.171447, 0.196946, 0, 0, 0.140705, 0.140705, 0.171447, 0, 0, 0.1, 0.171447, 0.1, 0.140705, 0, 0.140705, 0.449916, 0.456048, 0.376588, 0.824131
, 4, 0, 0, 0, 0.33, 0.31, 0.29, 0.38, 0.31, 0.31, 0.41, 0.33, 0.28, 0.43, 0.2, 0.29, 0.35, 0.32, 0.3, 0.39, 0.23, 0.39, 0, 0, 0, 5.85
, , 0, 0, 0, 0.569512, 0.525991, 0.477684, 0.599326, 0.525991, 0.597892, 0.668105, 0.620443, 0.514045, 0.62369, 0.426401, 0.53739, 0.592461, 0.5101, 0.594588, 0.617833, 0.468287, 0.633971, 0, 0, 0, 2.49191
, 5, 0.31, 0.31, 0.29, 0.96, 1.04, 1.11, 0.89, 0.95, 0.94, 0.93, 1.01, 1.14, 1.24, 1.05, 1.01, 0.82, 0.91, 1.1, 1.09, 1.06, 1.02, 0.59, 0.59, 0.69, 21.05
, , 0.525991, 0.544857, 0.607944, 0.96316, 0.931166, 1.17116, 0.827495, 0.96792, 1.01325, 0.912926, 0.989796, 1.03495, 1.05524, 0.96792, 0.969171, 0.891939, 0.9, 1.07778, 0.975405, 1.05237, 0.963789, 0.739847, 0.726066, 0.860995, 4.46394
, 6, 0.6, 0.66, 0.72, 0.84, 1.09, 0.89, 1.06, 0.97, 1.19, 0.91, 1.06, 0.97, 1.19, 1.12, 1.05, 1.01, 1.12, 1.07, 0.98, 0.95, 0.95, 0, 0, 0, 20.4
, , 0.816497, 0.75505, 0.766469, 0.872938, 1.15553, 0.952349, 1.19612, 1.06794, 1.06073, 0.911154, 1.01325, 1.0867, 1.05117, 1.06629, 0.857233, 1.04924, 0.935063, 0.997522, 0.974213, 0.946818, 1.01876, 0, 0, 0, 5.25703
, 7, 1.02, 0.92, 1.03, 2.02, 2.07, 1.8, 1.93, 1.97, 1.97, 2.08, 1.91, 2.23, 2.22, 2.03, 2.02, 2.16, 1.64, 1.87, 2.13, 1.85, 2.13, 0.99, 1.27, 1.05, 42.31
, , 0.984527, 0.906542, 1.01956, 1.29474, 1.32005, 1.33333, 1.37257, 1.29064, 1.43164, 1.3233, 1.29564, 1.71066, 1.43252, 1.36667, 1.40691, 1.44753, 1.25142, 1.48157, 1.56124, 1.32097, 1.3231, 0.948098, 0.919541, 1.18386, 6.11125
, 8, 0.31, 0.4, 0.3, 0.58, 0.82, 0.66, 0.64, 0.71, 0.79, 0.67, 0.74, 0.72, 0.69, 0.73, 0.73, 0.67, 0.66, 0.5, 0.76, 0.57, 0.68, 0.4, 0.33, 0.38, 14.44
, , 0.597892, 0.586033, 0.627646, 0.754515, 0.936143, 0.819214, 0.785217, 0.935225, 0.879566, 0.817177, 0.905873, 0.779536, 0.774531, 0.827006, 0.851084, 0.804721, 0.831452, 0.6742, 0.996154, 0.794616, 0.789834, 0.651339, 0.58698, 0.632136, 3.19191
, Sum, 9.22, 8.84, 9.41, 6.83, 7.52, 6.97, 7.35, 7.13, 7.51, 7.14, 7.27, 7.68, 8.24, 7.62, 7.44, 7.31, 6.91, 7.32, 7.79, 6.92, 7.68, 8.61, 9.23, 8.95, 186.89
, , 3.41884, 2.61202, 2.75276, 2.58611, 2.74683, 2.58767, 2.49191, 2.68048, 2.79428, 2.73038, 2.56572, 2.97423, 3.06205, 2.85254, 2.71293, 2.4932, 2.50291, 2.3045, 2.91736, 2.52134, 3.01471, 2.67005, 2.76652, 3.09243, 13.2816
Number Out, 0, 3.73, 3.15, 3.72, 1.76, 1.68, 1.8, 1.91, 1.65, 1.76, 1.69, 1.85, 1.79, 1.81, 1.95, 1.82, 1.72, 1.81, 1.94, 1.87, 1.8, 1.88, 3, 3.13, 3.16, 52.38
, , 2.18283, 1.57874, 1.77001, 1.57711, 1.31718, 1.37804, 1.37873, 1.4521, 1.28015, 1.38312, 1.2008, 1.39476, 1.28468, 1.4521, 1.24219, 1.3033, 1.31576, 1.38404, 1.3231, 1.40705, 1.30485, 1.60177, 1.76758, 1.86255, 6.91767
, 1, 0, 0, 0, 0.03, 0.02, 0, 0.01, 0, 0.04, 0.05, 0.04, 0.01, 0.04, 0.04, 0.05, 0.05, 0.03, 0.03, 0.05, 0.03, 0.04, 0.04, 0.03, 0.02, 0.65
, , 0, 0, 0, 0.171447, 0.140705, 0, 0.1, 0, 0.196946, 0.219043, 0.196946, 0.1, 0.196946, 0.196946, 0.219043, 0.219043, 0.171447, 0.171447, 0.219043, 0.171447, 0.196946, 0.196946, 0.171447, 0.140705, 0.808728
, 2, 2.95, 3.24, 3.25, 0.28, 0.36, 0.28, 0.39, 0.33, 0.23, 0.26, 0.13, 0.31, 0.34, 0.33, 0.32, 0.34, 0.29, 0.29, 0.31, 0.33, 0.36, 2.88, 3.05, 2.83, 23.68
, , 1.57233, 1.63991, 1.50672, 0.533333, 0.559942, 0.533333, 0.566667, 0.58698, 0.509605, 0.484507, 0.337998, 0.646592, 0.572431, 0.55149, 0.566399, 0.572431, 0.607944, 0.555869, 0.56309, 0.53286, 0.611671, 1.37275, 1.58513, 1.44289, 4.67938
, 3, 0, 0, 0, 0, 0.01, 0.01, 0.03, 0.04, 0, 0, 0.02, 0.02, 0.03, 0, 0, 0.01, 0.03, 0.01, 0.02, 0, 0.02, 0.09, 0.1, 0.08, 0.52
, , 0, 0, 0, 0, 0.1, 0.1, 0.171447, 0.196946, 0, 0, 0.140705, 0.140705, 0.171447, 0, 0, 0.1, 0.171447, 0.1, 0.140705, 0, 0.140705, 0.320826, 0.333333, 0.27266, 0.688726
, 4, 0, 0, 0, 0.33, 0.31, 0.29, 0.38, 0.31, 0.3, 0.41, 0.33, 0.28, 0.43, 0.19, 0.3, 0.35, 0.32, 0.3, 0.39, 0.23, 0.39, 0, 0, 0, 5.84
, , 0, 0, 0, 0.569512, 0.525991, 0.477684, 0.599326, 0.525991, 0.57735, 0.668105, 0.620443, 0.514045, 0.62369, 0.419114, 0.541229, 0.592461, 0.5101, 0.594588, 0.617833, 0.468287, 0.633971, 0, 0, 0, 2.47705
